"SAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"(Number of jobs)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2000","2017"
"53000","Washington","70","  Farm employment",80286,84353
"53000","Washington","200","      Mining, quarrying, and oil and gas extraction",5598,8756
"53000","Washington","500","      Manufacturing",347942,305056
"53000","Washington","700","      Retail trade",396796,464725
"53000","Washington","900","      Information",107120,139313
"53000","Washington","1000","      Finance and insurance",141156,169131
"53000","Washington","1500","      Educational services",46629,81722
"53000","Washington","1600","      Health care and social assistance",302684,471646
"53000","Washington","1700","      Arts, entertainment, and recreation",75139,106121
"53000","Washington","2000","    Government and government enterprises",563087,649977
"54000","West Virginia","","By industry","",""
"54000","West Virginia","70","  Farm employment",23172,23048
"54000","West Virginia","200","      Mining, quarrying, and oil and gas extraction",24815,32444
"54000","West Virginia","500","      Manufacturing",77226,49440
"54000","West Virginia","700","      Retail trade",115028,103857
"54000","West Virginia","900","      Information",15789,10337
"54000","West Virginia","1000","      Finance and insurance",28428,26060
"54000","West Virginia","1500","      Educational services",11167,13242
"54000","West Virginia","1600","      Health care and social assistance",101469,125703
"54000","West Virginia","1700","      Arts, entertainment, and recreation",12812,14561
"54000","West Virginia","2000","    Government and government enterprises",151643,154522
"55000","Wisconsin","","By industry","",""
"55000","Wisconsin","70","  Farm employment",101442,81430
"55000","Wisconsin","200","      Mining, quarrying, and oil and gas extraction",3788,6980
"55000","Wisconsin","500","      Manufacturing",604927,485287
"55000","Wisconsin","700","      Retail trade",404415,379860
"55000","Wisconsin","900","      Information",59995,55838
"55000","Wisconsin","1000","      Finance and insurance",155811,182074
"55000","Wisconsin","1500","      Educational services",49515,70430
"55000","Wisconsin","1600","      Health care and social assistance",325123,429946
"55000","Wisconsin","1700","      Arts, entertainment, and recreation",56357,75313
"55000","Wisconsin","2000","    Government and government enterprises",417773,435695
"56000","Wyoming","","By industry","",""
"56000","Wyoming","70","  Farm employment",12726,14984
"56000","Wyoming","200","      Mining, quarrying, and oil and gas extraction",18675,26562
"56000","Wyoming","500","      Manufacturing",11296,"(D)"
"56000","Wyoming","700","      Retail trade",39197,38976
"56000","Wyoming","900","      Information",4358,4811
"56000","Wyoming","1000","      Finance and insurance",10897,18211
"56000","Wyoming","1500","      Educational services",2112,4086
"56000","Wyoming","1600","      Health care and social assistance",22399,30042
"56000","Wyoming","1700","      Arts, entertainment, and recreation",6503,8050
"56000","Wyoming","2000","    Government and government enterprises",64926,74989
"Legend / Footnotes:"
"1/ The estimates of employment for 1998-2006 are based on the 2002 North American Industry Classification System (NAICS). The estimates for 2007-2010 are based on the 2007 NAICS. The estimates for 2011-2016 are based on the 2012 NAICS. The estimates for 2017 forward are based on the 2017 NAICS."
"(D) Not shown to avoid disclosure of confidential information; estimates are included in higher-level totals."
"(T) Estimate for employment suppressed to cover corresponding estimate for earnings. Estimates for this item are included in the total."
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 2014-2017."
